date,tps,cpu_usage,ram_usage,players_online,avg_ping,treatment,iteration
2025-06-21 18:04:58.287000-06:00,20.0,5.013293001710678,2720,0,,T4,1
2025-06-21 18:05:58.289000-06:00,19.773126199455376,28.14937363361277,2879,2,,T4,1
2025-06-21 18:06:59.286000-06:00,19.833084600377028,26.97066615791998,2901,2,,T4,1
2025-06-21 18:07:59.287000-06:00,19.890639111657226,22.61960186217432,2693,2,,T4,1
2025-06-21 18:09:00.286000-06:00,19.863556704838054,21.84880087178733,2673,2,,T4,1
2025-06-21 18:10:00.287000-06:00,19.888768686838674,21.570635916016347,2554,2,199.5,T4,1
2025-06-21 18:11:00.287000-06:00,19.577851809538604,27.986449688261278,2689,2,205.0,T4,1
2025-06-21 18:12:00.287000-06:00,19.83618804729419,24.293563096189903,2543,2,201.0,T4,1
2025-06-21 18:13:00.287000-06:00,19.86245616757899,22.53115071991883,2668,2,195.0,T4,1
2025-06-21 18:14:00.287000-06:00,19.907494185114153,23.27892330428562,2585,2,186.0,T4,1
2025-06-21 18:15:01.286000-06:00,19.850492145673673,23.643227617924694,2634,2,208.0,T4,1
2025-06-21 18:16:01.287000-06:00,19.649266413059433,22.774877936743884,2689,2,202.0,T4,1
2025-06-21 18:17:01.287000-06:00,19.85063651214814,21.285370215533256,2658,2,200.0,T4,1
2025-06-21 18:18:02.286000-06:00,19.862522003107042,23.512951816141413,2640,2,201.5,T4,1
2025-06-21 18:19:02.287000-06:00,19.85802686526726,21.66485063849194,2657,2,203.5,T4,1
2025-06-21 18:20:03.287000-06:00,19.83084346716756,22.227734169555273,2655,2,197.0,T4,1
2025-06-21 18:21:03.287000-06:00,19.660699885369024,22.664325529542914,2757,2,196.5,T4,1
2025-06-21 18:22:04.286000-06:00,19.870158243005417,23.218279460171832,2600,2,191.5,T4,1
2025-06-21 18:23:04.286000-06:00,19.891732956485598,22.85928222676411,2701,2,187.0,T4,1
2025-06-21 18:24:04.286000-06:00,19.941751469143764,23.381230829690978,2704,2,188.0,T4,1
2025-06-21 18:25:04.287000-06:00,19.982421316751036,22.872600024773938,2669,2,203.5,T4,1
2025-06-21 18:26:04.287000-06:00,19.793549814446223,24.87109256854072,2729,2,195.0,T4,1
2025-06-21 18:27:04.287000-06:00,19.986281712276003,23.15454454295033,2614,2,197.5,T4,1
2025-06-21 18:28:04.287000-06:00,19.81821123315344,22.734282484825965,2832,2,206.0,T4,1
2025-06-21 18:29:05.286000-06:00,19.81019396620898,22.76803420834069,2646,2,213.5,T4,1
2025-06-21 18:30:05.286000-06:00,19.81043420741033,22.75189004500599,2697,2,208.0,T4,1
2025-06-21 18:31:05.287000-06:00,19.620816389715504,24.112908769973988,2830,2,178.0,T4,1
2025-06-21 18:32:06.286000-06:00,19.778952660232363,23.235218824759098,2715,2,178.5,T4,1
2025-06-21 18:33:06.286000-06:00,19.776494544773048,23.774501277037505,2822,2,188.0,T4,1
2025-06-21 18:34:06.286000-06:00,19.713430419790765,22.162445830471203,2818,2,208.0,T4,1
2025-06-21 18:35:06.286000-06:00,19.714877346665403,25.232945067199815,2703,2,207.0,T4,1
2025-06-21 18:36:06.286000-06:00,19.54570191012028,23.016475607055312,2961,2,213.5,T4,1
2025-06-21 18:37:06.286000-06:00,19.77558681320046,22.53053594285478,2841,2,220.5,T4,1
2025-06-21 18:38:06.287000-06:00,19.78792796075936,23.087277808745203,2838,2,217.5,T4,1
2025-06-21 18:39:07.287000-06:00,19.85805114742625,25.04323331363602,2806,2,212.5,T4,1
2025-06-21 18:40:07.287000-06:00,19.757811612882055,23.531653092613237,2842,2,202.0,T4,1
2025-06-21 18:41:07.287000-06:00,19.591262383320377,23.14913420248565,2822,2,197.5,T4,1
2025-06-21 18:42:07.287000-06:00,19.793081400076606,22.466884728931824,2866,2,203.0,T4,1
2025-06-21 18:43:08.286000-06:00,19.814302773257708,22.526585024357658,2839,2,200.0,T4,1
2025-06-21 18:44:08.287000-06:00,19.755297346563243,23.129742321165853,2954,2,202.5,T4,1
2025-06-21 18:45:09.287000-06:00,19.789815166454236,25.056581396745333,2786,2,198.5,T4,1
2025-06-21 18:46:09.287000-06:00,19.56350374824334,23.663996353217367,2792,2,213.0,T4,1
2025-06-21 18:47:10.287000-06:00,19.830400201865555,23.210719855498905,2912,2,206.5,T4,1
2025-06-21 18:48:11.287000-06:00,19.789137672694434,24.052125371262935,2796,2,208.5,T4,1
2025-06-21 18:49:11.287000-06:00,19.80760350592953,22.95611400140386,2808,2,208.0,T4,1
2025-06-21 18:50:12.287000-06:00,19.995384266240738,22.054567344036343,2792,2,201.5,T4,1
2025-06-21 18:51:12.287000-06:00,19.81503880038301,21.808883169299836,2824,2,207.0,T4,1
2025-06-21 18:52:12.287000-06:00,19.99036347064697,21.823838205541108,2843,2,198.5,T4,1
2025-06-21 18:53:12.287000-06:00,19.994409488143763,21.174129557372318,2970,2,199.0,T4,1
2025-06-21 18:54:13.287000-06:00,19.991388240534828,22.449918063246646,2689,2,198.5,T4,1
2025-06-21 18:55:14.287000-06:00,19.907548317939128,19.354890466704436,2835,2,181.5,T4,1
2025-06-21 18:56:15.287000-06:00,19.86556705578805,21.1145149892477,2942,2,182.5,T4,1
2025-06-21 18:57:15.287000-06:00,19.997050415616684,21.88287295098889,2686,2,185.0,T4,1
2025-06-21 18:58:15.287000-06:00,19.990725996779357,20.025553837600935,2954,2,181.5,T4,1
2025-06-21 18:59:15.287000-06:00,19.958496279539883,20.021397198480532,2896,2,190.5,T4,1
2025-06-21 19:00:15.287000-06:00,19.853045573237306,18.836512139229523,2741,2,187.5,T4,1
